"date","plot","treatment","plant","BRIX","mass"
2016-06-07,"CC6","C","CC6-10",36,0.0378363636363636
2016-06-07,"WHSR9","H","WHSR9-3",38,0.0322327272727273
2016-06-07,"CHSR8","H","CHSR8-4",39,0.0256690909090909
2016-06-07,"ESR2","C","ESR2-6",39,0.0513381818181818
2016-06-07,"ESR2","C","ESR2-6",39,0.0684509090909091
2016-06-07,"EH4","H","EH4-4",39,0.136901818181818
2016-06-07,"EH4","H","EH4-9",40,0.0684509090909091
2016-06-07,"WSR10","C","WSR10-1",41,0.0181236363636364
2016-06-07,"EH4","H","EH4-3",42,0.0453090909090909
2016-06-07,"WSR10","C","WSR10-3",42,0.0271854545454545
2016-06-07,"CHSR8","H","CHSR8-6",45,0.0202036363636364
2016-06-07,"EH4","H","EH4-7",48,0.0744418181818182
2016-06-07,"CHSR8","H","CHSR8-5",48,0.0212690909090909
2016-06-07,"WSR10","C","WSR10-3",49,0.0782472727272727
2016-06-08,"WC11","C","WC11-5",2,0.00182727272727273
2016-06-08,"WC11","C","WC11-5",3,0.00440727272727273
2016-06-08,"EH4","H","EH4-5",8,0.00299636363636364
2016-06-08,"CC6","C","CC6-7",11,0.02294
2016-06-08,"EHSR1","H","EHSR1-1",11,0.0166836363636364
2016-06-08,"EC3","C","EC3-3",11,0.0375381818181818
2016-06-08,"ESR2","C","ESR2-2",12,0.0159854545454545
2016-06-08,"WC11","C","WC11-7",13,0.0198690909090909
2016-06-08,"CSR7","C","CSR7-5",13,0.0447054545454545
2016-06-08,"EC3","C","EC3-1",14,0.0241690909090909
2016-06-08,"EC3","C","EC3-3",15,0.0115563636363636
2016-06-08,"WC11","C","WC11-3",16,0.0123781818181818
2016-06-08,"EHSR1","H","EHSR1-1",16,0.0928363636363636
2016-06-08,"CC6","C","CC6-6",17,0.0627
2016-06-08,"CC6","C","CC6-6",17,0.0396
2016-06-08,"CC6","C","CC6-6",17,0.0594
2016-06-08,"CC6","C","CC6-7",17,0.0957
2016-06-08,"EHSR1","H","EHSR1-5",17,0.0198
2016-06-08,"EHSR1","H","EHSR1-2",17,0.0165
2016-06-08,"EH4","H","EH4-3",17,0.0198
2016-06-08,"CC6","C","CC6-7",18,0.0210545454545455
2016-06-08,"CHSR8","H","CHSR8-4",18,0.0280727272727273
2016-06-08,"CH5","H","CH5-3",19,0.0223090909090909
2016-06-08,"CSR7","C","CSR7-3",20,0.0157236363636364
2016-06-08,"EHSR1","H","EHSR1-5",20,0.0275163636363636
2016-06-08,"CSR7","C","CSR7-8",20,0.0235854545454545
2016-06-08,"EHSR1","H","EHSR1-2",22,0.0436
2016-06-08,"CC6","C","CC6-7",22,0.0436
2016-06-08,"EH4","H","EH4-6",23,0.0911309090909091
2016-06-08,"CHSR8","H","CHSR8-1",23,0.0191854545454545
2016-06-08,"EHSR1","H","EHSR1-1",24,0.110316363636364
2016-06-08,"CH5","H","CH5-2",24,0.0575563636363636
2016-06-08,"WC11","C","WC11-5",24,0.100723636363636
2016-06-08,"EH4","H","EH4-4",24,0.0623527272727273
2016-06-08,"CH5","H","CH5-5",25,0.104763636363636
2016-06-08,"CH5","H","CH5-2",25,0.0523818181818182
2016-06-08,"CSR7","C","CSR7-1",25,0.0104763636363636
2016-06-08,"EH4","H","EH4-9",25,0.0419054545454545
2016-06-08,"CH5","H","CH5-4",26,0.0680963636363636
2016-06-08,"WC11","C","WC11-3",26,0.05762
2016-06-08,"CH5","H","CH5-3",26,0.0261909090909091
2016-06-08,"CHSR8","H","CHSR8-2",28,0.0113781818181818
2016-06-08,"ESR2","C","ESR2-2",29,0.110650909090909
2016-06-08,"ESR2","C","ESR2-6",29,0.0922090909090909
2016-06-08,"EH4","H","EH4-8",29,0.122945454545455
2016-06-08,"CHSR8","H","CHSR8-5",30,0.0491781818181818
2016-06-08,"ESR2","C","ESR2-2",30,0.06762
2016-06-08,"EC3","C","EC3-1",30,0.0245890909090909
2016-06-08,"EH4","H","EH4-7",30,0.0799145454545455
2016-06-08,"CSR7","C","CSR7-3",31,0.0198381818181818
2016-06-08,"CHSR8","H","CHSR8-2",31,0.0330636363636364
2016-06-08,"ESR2","C","ESR2-6",31,0.0529018181818182
2016-06-08,"CHSR8","H","CHSR8-1",34,0.0354363636363636
2016-06-08,"EC3","C","EC3-3",35,0.0151345454545455
2016-06-08,"WC11","C","WC11-7",36,0.0681054545454546
2016-06-08,"EC3","C","EC3-1",37,0.0644654545454545
2016-06-16,"WHSR9","H","WHSR9-1",24,0.0767418181818182
2016-06-16,"WHSR9","H","WHSR9-1",33,0.0496109090909091
2016-06-16,"WHSR9","H","WHSR9-1",38,0.08864
2016-06-16,"WHSR9","H","WHSR9-2",41,0.0634327272727273
2016-06-16,"CH5","H","CH5-6",43,0.0574690909090909
2016-06-16,"WHSR9","H","WHSR9-2",44,0.0287345454545455
