"date","plot","quad","treatment","BRIX","mass"
2016-06-24,"WH12","SE","H",67,0.0962606060606061
2016-06-24,"EHSR1","SW","H",68,0.0687575757575758
2016-06-24,"CSR7","SE","C",69,0.114354545454545
2016-06-24,"CHSR8","NW","H",69,0.0381181818181818
2016-06-24,"WSR10","NW","C",71,0.0741742424242424
2016-06-25,"CSR7","NW","C",51,0.185710606060606
2016-06-25,"WH12","NE","H",51,0.0781939393939394
2016-06-25,"ESR2","SE","C",53,0.00977424242424242
2016-06-25,"WH12","NW","H",54,0.0428727272727273
2016-06-25,"CSR7","SW","C",55,0.150054545454545
2016-06-25,"CHSR8","SW","H",56,0.0428727272727273
2016-06-25,"CC6","SW","C",56,0.0857454545454546
2016-06-25,"ESR2","NW","C",57,0.0448060606060606
2016-06-25,"WH12","SE","H",57,0.0336045454545454
2016-06-25,"ESR2","NE","C",58,0.0336045454545454
2016-06-25,"CSR7","NE","C",58,0.0448060606060606
2016-06-25,"CHSR8","SW","H",58,0.0672090909090909
2016-06-25,"EC3","NW","C",59,0.0467818181818182
2016-06-25,"EHSR1","SW","H",61,0.0731727272727273
2016-06-25,"WHSR9","SE","H",62,0.0365863636363636
2016-06-25,"CC6","NW","C",62,0.0975636363636364
2016-06-25,"WHSR9","SE","H",62,0.0365863636363636
2016-06-25,"WHSR9","NW","H",63,0.0889424242424243
2016-06-25,"WHSR9","NE","H",63,0.0254121212121212
2016-06-25,"CH5","NE","H",63,0.0381181818181818
2016-06-25,"WH12","SW","H",64,0.0254121212121212
2016-06-25,"CC6","SW","C",64,0.101648484848485
2016-06-25,"CHSR8","SE","H",64,0.0508242424242424
2016-06-25,"CC6","NW","C",64,0.0508242424242424
2016-06-25,"WSR10","SE","C",64,0.063530303030303
2016-06-25,"CSR7","SE","C",64,0.0381181818181818
2016-06-25,"EH4","NE","H",65,0.0528969696969697
2016-06-25,"WHSR9","NW","H",65,0.0264484848484848
2016-06-25,"CC6","SW","C",65,0.105793939393939
2016-06-25,"EHSR1","SW","H",65,0.0528969696969697
2016-06-25,"EH4","NE","H",66,0.0528969696969697
2016-06-25,"CHSR8","SE","H",66,0.0396727272727273
2016-06-25,"WSR10","SW","C",66,0.0396727272727273
2016-06-25,"WSR10","NE","C",67,0.0825090909090909
2016-06-25,"WSR10","NE","C",67,0.0412545454545455
2016-06-25,"WSR10","SW","C",67,0.110012121212121
2016-06-25,"WHSR9","SW","H",68,0.0412545454545455
2016-06-25,"CC6","NE","C",69,0.063530303030303
2016-06-25,"CH5","NW","H",69,0.0508242424242424
2016-06-25,"CC6","NE","C",69,0.0381181818181818
2016-06-25,"WSR10","NW","C",69,0.0381181818181818
2016-06-25,"EH4","NW","H",72,0.0593393939393939
2016-06-26,"WHSR9","NW","H",40,0.135475757575758
2016-06-26,"WC11","SW","C",45,0.0673454545454545
2016-06-26,"CHSR8","SW","H",45,0.0589272727272727
2016-06-26,"CSR7","NW","C",45,0.0336727272727273
2016-06-26,"CSR7","SW","C",46,0.101018181818182
2016-06-26,"WH12","SE","H",50,0.0931515151515151
2016-06-26,"WSR10","SW","C",52,0.0390969696969697
2016-06-26,"WHSR9","NE","H",52,0.107516666666667
2016-06-26,"CC6","NW","C",52,0.068419696969697
2016-06-26,"WHSR9","SE","H",52,0.0781939393939394
2016-06-26,"CHSR8","SW","H",52,0.127065151515152
2016-06-26,"CC6","SE","C",52,0.0586454545454545
2016-06-26,"WHSR9","NW","H",52,0.0586454545454545
2016-06-26,"CHSR8","NW","H",53,0.068419696969697
2016-06-26,"CC6","NW","C",54,0.1179
2016-06-26,"WH12","NW","H",55,0.0428727272727273
2016-06-26,"WHSR9","SW","H",55,0.0643090909090909
2016-06-26,"CC6","SW","C",56,0.0964636363636364
2016-06-26,"CHSR8","SE","H",56,0.0643090909090909
2016-06-26,"WH12","NE","H",56,0.0428727272727273
2016-06-26,"EHSR1","SW","H",56,0.0857454545454546
2016-06-26,"WHSR9","NE","H",58,0.0336045454545454
2016-06-26,"EC3","SE","C",59,0.0233909090909091
2016-06-26,"ESR2","NE","C",59,0.0350863636363636
2016-06-26,"WH12","NE","H",59,0.0350863636363636
2016-06-26,"CC6","NE","C",60,0.0467818181818182
2016-06-26,"CC6","SE","C",60,0.0233909090909091
2016-06-26,"WHSR9","SE","H",61,0.13415
2016-06-26,"WSR10","SW","C",61,0.0304886363636364
2016-06-26,"WH12","SE","H",62,0.0853681818181818
2016-06-26,"EHSR1","SW","H",62,0.0487818181818182
2016-06-26,"WC11","NW","C",62,0.0853681818181818
2016-06-26,"WHSR9","SW","H",63,0.0508242424242424
2016-06-26,"CC6","NE","C",64,0.0889424242424243
2016-06-26,"WSR10","NW","C",64,0.0381181818181818
2016-06-26,"WSR10","NE","C",65,0.0793454545454546
2016-06-26,"WSR10","NW","C",65,0.092569696969697
2016-06-26,"WSR10","SE","C",66,0.0528969696969697
2016-06-26,"CHSR8","SE","H",66,0.0264484848484848
2016-06-26,"ESR2","NE","C",67,0.0275030303030303
2016-06-26,"WSR10","NE","C",69,0.139766666666667
2016-06-26,"WSR10","SE","C",71,0.0741742424242424
2016-06-27,"WH12","SE","H",41,0.0377575757575758
2016-06-27,"CSR7","SW","C",42,0.135927272727273
2016-06-27,"CC6","SE","C",43,0.0319272727272727
2016-06-27,"WH12","SE","H",44,0.0239454545454545
2016-06-27,"EH4","NE","H",45,0.0926
2016-06-27,"WC11","SW","C",45,0.0757636363636364
2016-06-27,"ESR2","SE","C",45,0.0420909090909091
2016-06-27,"CHSR8","SW","H",46,0.101018181818182
2016-06-27,"ESR2","NE","C",46,0.0757636363636364
2016-06-27,"CSR7","SE","C",46,0.0420909090909091
2016-06-27,"CC6","NW","C",46,0.0420909090909091
2016-06-27,"WSR10","NW","C",47,0.0708969696969697
2016-06-27,"WC11","NW","C",47,0.0620348484848485
2016-06-27,"CHSR8","NW","H",47,0.0797590909090909
2016-06-27,"WHSR9","NE","H",48,0.0443106060606061
2016-06-27,"CSR7","SW","C",49,0.0745212121212121
2016-06-27,"WC11","NW","C",49,0.0558909090909091
2016-06-27,"WHSR9","NE","H",49,0.0745212121212121
2016-06-27,"ESR2","NE","C",50,0.102466666666667
2016-06-27,"WHSR9","SE","H",50,0.0838363636363636
2016-06-27,"CSR7","NW","C",50,0.102466666666667
2016-06-27,"CH5","NE","H",52,0.0195484848484848
2016-06-27,"WH12","NE","H",53,0.0586454545454545
2016-06-27,"CHSR8","SW","H",53,0.0586454545454545
2016-06-27,"EHSR1","SW","H",53,0.0293227272727273
2016-06-27,"WHSR9","SW","H",54,0.0535909090909091
2016-06-27,"WHSR9","SE","H",55,0.107181818181818
2016-06-27,"CH5","SW","H",56,0.0643090909090909
2016-06-27,"CC6","NE","C",58,0.0672090909090909
2016-06-27,"WSR10","NW","C",58,0.100813636363636
2016-06-27,"WHSR9","SW","H",59,0.116954545454545
2016-06-27,"EHSR1","SW","H",59,0.105259090909091
2016-06-27,"WH12","SW","H",60,0.0467818181818182
2016-06-27,"CC6","NW","C",60,0.0584772727272727
2016-06-27,"EH4","NW","H",60,0.0350863636363636
2016-06-27,"WH12","NW","H",63,0.0254121212121212
2016-06-27,"CC6","NE","C",63,0.0381181818181818
2016-06-27,"EH4","NE","H",64,0.0508242424242424
2016-06-27,"WSR10","NE","C",64,0.0508242424242424
2016-06-27,"EC3","NW","C",64,0.0254121212121212
2016-06-27,"WHSR9","NW","H",64,0.0381181818181818
2016-06-27,"WSR10","SE","C",65,0.0528969696969697
2016-06-27,"WSR10","NE","C",66,0.0528969696969697
2016-06-27,"EHSR1","SE","H",67,0.0412545454545455
2016-06-27,"CH5","NW","H",68,0.0412545454545455
2016-06-27,"EH4","NW","H",68,0.0550060606060606
2016-06-27,"WSR10","SE","C",69,0.0381181818181818
2016-06-27,"WH12","NW","H",72,0.0593393939393939
2016-06-29,"CSR7","NW","C",40,0.0784333333333333
2016-06-29,"CSR7","SW","C",40,0.114084848484848
2016-06-29,"CHSR8","SW","H",43,0.0319272727272727
2016-06-29,"CH5","SE","H",44,0.0798181818181818
2016-06-29,"CH5","SE","H",45,0.0505090909090909
2016-06-29,"WC11","SW","C",46,0.0841818181818182
2016-06-29,"WC11","NE","C",47,0.0354484848484848
2016-06-29,"CHSR8","SW","H",48,0.0265863636363636
2016-06-29,"CC6","NW","C",48,0.203828787878788
2016-06-29,"CC6","NW","C",49,0.0745212121212121
2016-06-29,"WH12","NW","H",49,0.0931515151515151
2016-06-29,"CC6","SE","C",50,0.0652060606060606
2016-06-29,"WHSR9","NE","H",50,0.0372606060606061
2016-06-29,"CC6","SE","C",50,0.0372606060606061
2016-06-29,"EH4","NE","H",51,0.0293227272727273
2016-06-29,"WHSR9","SE","H",52,0.0586454545454545
2016-06-29,"WC11","NW","C",52,0.0781939393939394
2016-06-29,"CHSR8","NW","H",53,0.0293227272727273
2016-06-29,"ESR2","SE","C",54,0.0428727272727273
2016-06-29,"CC6","SW","C",56,0.107181818181818
2016-06-29,"CC6","NE","C",59,0.116954545454545
2016-06-29,"WH12","NE","H",59,0.0818681818181818
2016-06-29,"WC11","NE","C",59,0.0350863636363636
2016-06-29,"WHSR9","NW","H",59,0.116954545454545
2016-06-29,"EC3","SE","C",60,0.0467818181818182
2016-06-29,"WHSR9","NW","H",60,0.0584772727272727
2016-06-29,"ESR2","NE","C",60,0.0818681818181818
2016-06-29,"WSR10","NE","C",61,0.0365863636363636
2016-06-29,"EHSR1","SW","H",61,0.0487818181818182
2016-06-29,"WSR10","NW","C",61,0.0609772727272727
2016-06-29,"ESR2","NE","C",61,0.0609772727272727
2016-06-29,"CH5","NE","H",62,0.0487818181818182
2016-06-29,"EH4","NE","H",62,0.0243909090909091
2016-06-29,"WSR10","NW","C",63,0.114354545454545
2016-06-29,"WH12","NW","H",63,0.0381181818181818
2016-06-29,"WH12","SW","H",63,0.0762363636363636
2016-06-29,"WSR10","NE","C",64,0.0508242424242424
2016-06-29,"CH5","NE","H",65,0.0396727272727273
2016-06-29,"WHSR9","SW","H",65,0.0396727272727273
2016-06-29,"EHSR1","SW","H",65,0.0396727272727273
2016-06-29,"EH4","NW","H",68,0.0687575757575758
2016-06-29,"WSR10","SE","C",68,0.0550060606060606
2016-06-29,"WSR10","SE","C",70,0.063530303030303
2016-06-29,"CH5","NW","H",70,0.0254121212121212
2016-06-30,"WC11","SW","C",50,0.018630303030303
2016-06-30,"WHSR9","NE","H",52,0.0195484848484848
2016-06-30,"CSR7","SE","C",55,0.0428727272727273
2016-06-30,"WSR10","NE","C",57,0.100813636363636
2016-06-30,"WH12","NE","H",64,0.063530303030303
2016-06-30,"EHSR1","SW","H",66,0.0793454545454546
2016-06-30,"EHSR1","SW","H",66,0.0264484848484848
2016-06-30,"WSR10","NW","C",66,0.105793939393939
2016-06-30,"ESR2","SE","C",66,0.0264484848484848
2016-06-30,"WH12","SE","H",67,0.0275030303030303
2016-06-30,"WHSR9","SW","H",67,0.110012121212121
2016-06-30,"WHSR9","NW","H",68,0.0275030303030303
2016-06-30,"WSR10","SE","C",69,0.0889424242424243
