date,avg wind (km/h),temp (?C),Humidity,Shade/ Sun,time (am),plot,treatment,Quadrant of plot,mm of tube filled,size tube (µL),BRIX,Volume (µL),notes,,
6/23/2016,,,,Sun,8:49,10,,SW,12,0.5,49,,,,
6/23/2016,,,,Sun,8:49,11,,NW,0,0.5,0,,,,
6/23/2016,,,,Sun,,11,,SW,6,0.5,NO READING,,one flower,,
6/23/2016,,,,Sun,,11,,SW,0,0.5,0,,,,
6/23/2016,,,,Sun,,11,,NW,0,0.5,0,,no flowers in NE or SE,,
6/23/2016,0,23.1,29.7,Sun,8:52,12,,SW,10,0.5,58,,,,
6/23/2016,,,,Sun,,12,,SE,2,0.5,NO READING,,,,
6/23/2016,,,,Sun,,12,,SW,10,0.5,47,,,,
6/23/2016,,,,Sun,,12,,SE,13,0.5,47,,,,
6/23/2016,,,,Sun,,12,,NW,15,0.5,54,,,,
6/23/2016,,,,Sun,,12,,NE,8,0.5,<45,,,,
6/23/2016,,,,Sun,,12,,NE,0,0.5,0,,,,
6/23/2016,0,28.7,24.0,Sun,8:59,12,,NW,8,0.5,60,,,,
6/24/2016,0,6.9,59.6,Shade,6:55,1,,SE,2,0.5,NO READING,,,,
6/24/2016,0,7.0,60.9,Shade,6:59,1,,SE,6,0.5,64,,,,
6/24/2016,,,,Shade,7:00,1,,SW,4,0.5,61,,,,
6/24/2016,,,,Shade,7:00,1,,SW,5,0.5,68,,No flowers in the north,,
6/24/2016,0,6.4,62.4,Shade,7:02,2,,SE,1,0.5,NO READING,,,,
6/24/2016,0,6.4,64.1,Shade,7:03,2,,SE,7,0.5,55,,,,
6/24/2016,0,6.4,64.8,Shade,7:05,2,,NE,8,0.5,62,,,,
6/24/2016,,,,Shade,7:06,2,,NE,7,0.5,55,,,,
6/24/2016,0,6.3,66.2,Shade,7:08,2,,NW,0,0.5,0,,,,
6/24/2016,,,,Shade,7:08,2,,NW,0,0.5,0,,florets in the NW noticably smaller - no cup to hold nectar. No flowers in the SW,,
6/24/2016,0,6.0,69.0,Shade,7:10,3,,SW,8,0.5,55,,,,
6/24/2016,,,,Shade,7:11,3,,SW,1,0.5,NO READING,,,,
6/24/2016,0,6.0,70.6,Shade,7:12,3,,NW,9,0.5,56,,,,
6/24/2016,0,6.0,70.5,Shade,,3,,NW,0,0.5,0,,,,
6/24/2016,,,,Shade,7:14,3,,NE,12,0.5,44,,,,
6/24/2016,0,6.3,69.4,Shade,7:16,3,,NE,0,0.5,0,,,,
6/24/2016,0,6.3,70.4,Shade,7:17,3,,SE,4,0.5,64,,,,
6/24/2016,,,,Shade,7:19,3,,SE,8,0.5,55,,,,
6/24/2016,0,6.3,70.6,Shade,7:20,4,,NE,4,0.5,67,,,,
6/24/2016,0,6.4,70.3,Shade,7:22,4,,NE,5,0.5,62,,,,
6/24/2016,0,6.3,71.6,Sun,7:25,4,,NW,5,0.5,63,,,,
6/24/2016,0,6.4,71.3,Sun,7:26,4,,NW,6,0.5,62,,,,
6/24/2016,0,6.8,69.9,Shade,7:28,4,,SW,5,0.5,57,,,,
6/24/2016,0,6.4,71.2,Shade,7:30,4,,SW,1,0.5,NO READING,, No flowers in the SE,,
6/24/2016,0,6.7,70.8,Shade,7:34,5,,SE,7,0.5,<45,,,,
6/24/2016,0,6.6,69.6,Shade,7:36,5,,SE,6,0.5,37,,,,
6/24/2016,,,,Shade,7:38,5,,NE,0,0.5,0,,Both samples from the NE were from the same stalk (only one FF in quad.),,
6/24/2016,0,6.5,71.8,Shade,7:38,5,,NE,3,0.5,50,,Both samples from the NE were from the same stalk (only one FF in quad.),,
6/24/2016,0,6.3,74.2,Shade,7:40,5,,NW,10,0.5,53,,,,
6/24/2016,0,6.3,73.0,Shade,7:43,5,,NW,5,0.5,56,,,,
6/24/2016,0,6.5,75.0,Sun,7:44,5,,SW,2,0.5,NO READING,,,,
6/24/2016,0,6.7,73.9,Sun,7:46,5,,SW,6,0.5,66,,,,
6/24/2016,0,6.7,,Sun,7:49,6,,SE,8,0.5,50,,,,
6/24/2016,0,6.9,75.5,Sun,7:50,6,,SE,0,0.5,0,,,,
6/24/2016,0,6.9,76.0,Sun,7:51,6,,NE,6,0.5,58,,,,
6/24/2016,0,7.3,76.3,Sun,7:55,6,,NW,8,0.5,55,,,,
6/24/2016,0,8.9,75.4,Sun,7:56,6,,NE,0,0.5,0,,,,
6/24/2016,0,9.5,72.3,Sun,7:56,6,,NW,7,0.5,54,,,,
6/24/2016,0,10.1,69.7,Shade,8:00,6,,SW,6,0.5,57,,,,
6/24/2016,,,,Shade,8:00,6,,SW,6,0.5,65,,,,
6/24/2016,0,10.7,61.5,Shade,8:01,7,,SW,7,0.5,50,,,,
6/24/2016,0,11.2,61.4,Shade,8:03,7,,SW,29,0.5,46/54,,,,
6/24/2016,0,11.2,58.6,Shade,8:06,7,,NW,3,0.5,63,,,,
6/24/2016,0,14.7,53.2,Shade,8:08,7,,NW,1,0.5,NO READING,,,,
6/24/2016,0,14.6,51.5,Shade,8:09,7,,NE,0,0.5,0,,,,
6/24/2016,0,14.7,50.1,Shade,8:10,7,,NE,5,0.5,62,,,,
6/24/2016,0,14.6,48.6,Shade,8:13,7,,SE,2,0.5,60,,,,
6/24/2016,0,14.7,41.6,Shade,8:14,7,,SE,9,0.5,69,,,,
6/24/2016,0,14.5,43.8,Sun,8:17,8,,NW,3,0.5,69,,,,
6/24/2016,0,14.9,43.4,Sun,8:18,8,,NW,0,0.5,0,,No flowers in NE or SW,,
6/24/2016,,,,Sun,8:19,8,,SE,3,0.5,66,,,,
6/24/2016,0,14.5,44.4,Sun,8:21,8,,SE,6,0.5,65,,,,
6/24/2016,0,15.4,44.0,Sun,8:25,9,,SW,0,0.5,0,,,,
6/24/2016,,,,Sun,8:27,9,,SW,13,0.5,60,,,,
6/24/2016,0,15.9,43.3,Sun,,9,,NW,6,0.5,58,,,,
6/24/2016,0,15.7,40.1,Sun,8:29,9,,NW,9,0.5,54,,,,
6/24/2016,,,,Sun,8:30,9,,NE,11,0.5,56,,,,
6/24/2016,0,15.5,45.9,Sun,8:31,9,,NE,8,0.5,55,,,,
6/24/2016,,,,Sun,8:33,9,,SE,11,0.5,53,,,,
6/24/2016,0,15.7,43.4,Sun,8:34,9,,SE,1,0.5,NO READING,,,,
6/24/2016,0,15.9,44.0,Sun,8:35,10,,SW,5,0.5,50,,,,
6/24/2016,,,,Sun,8:37,10,,SW,5,0.5,59,,,,
6/24/2016,0,15.9,41.1,Sun,8:38,10,,NW,3,0.5,67,,,,
6/24/2016,0,16.4,38.5,Sun,8:39,10,,NW,5,0.5,71,,,,
6/24/2016,0,16.1,43.2,Sun,8:41,10,,NE,7,0.5,66,,,,
6/24/2016,,,,Sun,,10,,NE,7,0.5,60,,,,
6/24/2016,0,16.2,42.3,Sun,8:43,10,,SE,5,0.5,55,,,,
6/24/2016,,,,Sun,,10,,SE,5,0.5,65,,,,
6/24/2016,0,15.8,44.9,Sun,8:45,11,,SW,6,0.5,45,,,,
6/24/2016,,,,Sun,8:46,11,,SW,4,0.5,<45,,,,
6/24/2016,,,,Sun,8:48,11,,NW,8,0.5,>50,,,,
6/24/2016,0,15.9,40.6,Sun,8:48,11,,NW,1,0.5,NO READING,,No flowers in the east,,
6/24/2016,0,15.9,39.1,Sun,8:49,12,,SW,7,0.5,50,,,,
6/24/2016,,,,Sun,8:50,12,,SW,5,0.5,60,,,,
6/24/2016,0,16.1,38.9,Sun,8:51,12,,NW,7,0.5,59,,,,
6/24/2016,,,,Sun,8:53,12,,NW,8,0.5,67,,,,
6/24/2016,,,,Sun,8:54,12,,NE,6,0.5,55,,,,
6/24/2016,,,,Sun,8:55,12,,NE,5,0.5,56,,,,
6/24/2016,,,,Sun,,12,,SE,7,0.5,67,,,,
6/24/2016,0,16.6,39.5,Sun,8:56,12,,SE,4,0.5,61,,,,
6/25/2016,0,3.8,57.2,Shade,7:02,12,,NW,0,0.5,0,,,,
6/25/2016,,3.3,,Shade,7:05,12,,NW,4,0.5,54,,,,
6/25/2016,0,3.1,57.1,Shade,7:06,12,,SW,0,0.5,0,,,,
6/25/2016,0,3.3,56.5,Shade,7:07,12,,SW,2,0.5,64,,,,
6/25/2016,0,2.9,58.4,Shade,7:09,12,,SE,3,0.5,57,,,,
6/25/2016,,,,Shade,7:10,12,,SE,0,0.5,0,,,,
6/25/2016,0,2.8,59.1,Shade,7:12,12,,NE,1,0.5,NO READING,,,,
6/25/2016,0,3.3,57.3,Shade,7:14,12,,NE,8,0.5,51,,,,
6/25/2016,0,3.4,57.9,Shade,7:15,11,,SW,5,0.5,<45,,,,
6/25/2016,0,3.3,57.2,Shade,7:17,11,,SW,0,0.5,0,,,,
6/25/2016,0,3.4,57.8,Shade,7:18,11,,NW,0,0.5,0,,No flowers in the east,,
6/25/2016,0,3.2,59.5,Sun,7:19,11,,NW,1,0.5,NO READING,,,,
6/25/2016,0,,61.5,Shade,7:21,10,,NE,6,0.5,67,,,,
6/25/2016,0,,62.1,Shade,7:22,10,,NE,3,0.5,67,,,,
6/25/2016,0,,,Shade,7:24,10,,SE,1,0.5,N/A,,,,
6/25/2016,0,3.4,59.3,Shade,,10,,SE,5,0.5,64,,,,
6/25/2016,0,3.6,58.2,Shade,7:26,10,,SW,3,0.5,66,,,,
6/25/2016,,,,Shade,7:28,10,,SW,8,0.5,67,,,,
6/25/2016,0,,,Shade,7:29,10,,NW,3,0.5,69,,,,
6/25/2016,0,4.4,55.5,Shade,7:29,10,,NW,1,0.5,NO READING,,,,
6/25/2016,,4.6,56.7,Shade,7:31,9,,SW,0,0.5,0,,,,
6/25/2016,,4.6,59.2,Shade,7:33,9,,SW,3,0.5,68,,,,
6/25/2016,,4.6,,Shade,7:34,9,,NW,2,0.5,65,,,,
6/25/2016,0,5.0,54.7,Shade,7:35,9,,NW,7,0.5,63,,,,
6/25/2016,,4.0,,Shade,7:37,9,,NE,2,0.5,63,,,,
6/25/2016,0,4.9,53.0,Shade,7:37,9,,NE,0,0.5,0,,,,
6/25/2016,0,5.2,53.9,Shade,7:38,9,,SE,3,0.5,62,,,,
6/25/2016,0,5.3,55.2,Shade,7:39,9,,SE,3,0.5,62,,,,
6/25/2016,,,,Shade,7:41,8,,SW,4,0.5,56,,,,
6/25/2016,0,5.5,51.3,Shade,7:43,8,,NW,0,0.5,0,,,,
6/25/2016,0,5.6,50.8,Sun,7:44,8,,SW,6,0.5,58,,,,
6/25/2016,0,5.3,54.1,Shade,7:45,8,,NW,0,0.5,0,,,,
6/25/2016,0,4.9,55.4,Sun,7:47,8,,SE,4,0.5,64,,,,
6/25/2016,0,4.8,54.9,Sun,7:48,8,,SE,3,0.5,66,,no flowers in the NE,,
6/25/2016,0,5.0,57.9,Shade,7:50,7,,SW,3,0.5,<45,,,,
6/25/2016,,5.1,56.8,Shade,7:51,7,,SW,14,0.5,55,,,,
6/25/2016,,,,Shade,7:52,7,,NW,1,0.5,NO READING,,,,
6/25/2016,,5.1,51.8,Shade,7:54,7,,NW,19,0.5,51,,,,
6/25/2016,,,,Shade,7:55,7,,NE,4,0.5,58,,,,
6/25/2016,,6.8,53.6,Shade,7:56,7,,NE,0,0.5,0,,,,
6/25/2016,,8.1,48.6,Shade,7:57,7,,SE,3,0.5,64,,,,
6/25/2016,,8.8,,Shade,7:58,7,,SE,0,0.5,0,,,,
6/25/2016,0,9.8,40.2,Shade,7:59,6,,SW,8,0.5,65,,,,
6/25/2016,,10.8,40.5,Shade,8:00,6,,SW,8,0.5,56,,,,
6/25/2016,,11.4,32.1,Sun,8:02,6,,NW,8,0.5,62,,,,
6/25/2016,0,12.4,29.1,Sun,8:03,6,,NW,4,0.5,64,,,,
6/25/2016,0,12.2,30.9,Sun,8:05,6,,NE,5,0.5,69,,,,
6/25/2016,0,13.4,24.5,Shade,8:06,6,,NE,3,0.5,69,,,,
6/25/2016,,12.1,23.4,Shade,8:08,6,,SW,8,0.5,64,,,,
6/25/2016,,,,Shade,8:08,6,,SW,0,0.5,0,,,,
6/25/2016,0,14.7,,Sun,8:10,5,,SE,13,0.5,<45,,,,
6/25/2016,0,14.7,24.1,Sun,8:11,5,,SE,9,0.5,NO READING,,,,
6/25/2016,,14.9,25.4,Sun,8:13,5,,SW,0,0.5,0,,,,
6/25/2016,0,15.4,22.6,Sun,8:13,5,,SW,0,0.5,0,,,,
6/25/2016,,16.7,22.2,Shade,8:16,5,,NW,4,0.5,69,,,,
6/25/2016,0,18.1,,Shade,8:16,5,,NW,1,0.5,NO READING,,,,
6/25/2016,,,,Sun,8:17,5,,NE,3,0.5,63,,,,
6/25/2016,,,,Sun,8:17,5,,NE,1,0.5,NO READING,,,,
6/25/2016,0,14.9,22.6,Sun,8:20,4,,SW,1,0.5,NO READING,,Moves Kestral to the shade,,
6/25/2016,0,13.9,27.9,Sun,8:22,4,,SW,1,0.5,NO READING,,,,
6/25/2016,,,,Sun,,4,,NW,4,0.5,72,,,,
6/25/2016,0,12.6,31.9,Sun,8:24,4,,NW,0,0.5,0,,,,
6/25/2016,,,,Sun,8:25,4,,NE,4,0.5,65,,,,
6/25/2016,0,9.6,33.5,Sun,8:26,4,,NE,4,0.5,66,,No flowers in the southeast,,
6/25/2016,0,9.7,39.4,Sun,8:28,3,,NW,4,0.5,59,,,,
6/25/2016,,,,Sun,8:29,3,,NW,0,0.5,0,,,,
6/25/2016,0,9.3,42.2,Sun,8:30,3,,SW,0,0.5,0,,,,
6/25/2016,0,9.8,43.6,Sun,8:31,3,,SW,1,0.5,NO READING,,,,
6/25/2016,,,,Sun,8:33,3,,SE,1,0.5,NO READING,,,,
6/25/2016,0,9.6,38.9,Sun,8:34,3,,SE,0,0.5,0,,,,
6/25/2016,,,,Sun,8:34,3,,NE,12,0.5,<45,,,,
6/25/2016,0,9.4,40.9,Sun,8:35,3,,NE,0,0.5,0,,,,
6/25/2016,0,9.3,42.4,Sun,8:36,2,,NW,4,0.5,57,,,,
6/25/2016,0,9.2,40.8,Sun,8:38,2,,NW,0,0.5,0,,,,
6/25/2016,0,9.1,40.8,Sun,8:39,2,,NE,3,0.5,58,,,,
6/25/2016,0,9.1,42.3,Sun,8:40,2,,NE,0,0.5,0,,,,
6/25/2016,0,9.2,39.1,Sun,8:41,2,,SE,0,0.5,0,,,,
6/25/2016,0,9.1,40.4,sun,8:42,2,,SE,1,0.5,53,,No flowers in the SW,,
6/25/2016,0,9.0,38.0,shade,8:44,1,,SW,6,0.5,61,,,,
6/25/2016,,,,sun,8:44,1,,SW,4,0.5,65,,,,
6/25/2016,,,,Sun,8:46,1,,SE,0,0.5,0,,,,
6/25/2016,0,9.1,40.9,sun,8:46,1,,SE,0,0.5,0,,No flowers in NE or NW,,
6/26/2016,,4.4,,Shade,7:12,6,,SE,2,0.5,60,,,,
6/26/2016,,,,Shade,,6,,SE,6,0.5,52,,,,
6/26/2016,,,,Shade,7:17,6,,SW,3,0.5,LOW,,,,
6/26/2016,,3.3,,Shade,7:19,6,,SW,9,0.5,56,,,,
6/26/2016,,3.0,68.5,Shade,7:21,6,,NW,7,0.5,52,,,,
6/26/2016,,2.8,68.1,Shade,7:23,6,,NW,11,0.5,54,,,,
6/26/2016,,2.7,69.3,Shade,7:24,6,,NE,4,0.5,60,,,,
6/26/2016,,,,Shade,7:26,6,,NE,7,0.5,64,,,,
6/26/2016,,3.1,,Shade,7:28,7,,SE,0,0.5,0,,,,
6/26/2016,,3.3,68.3,Shade,7:30,7,,SE,5,0.5,LOW,,,,
6/26/2016,,,,Shade,7:32,7,,SW,12,0.5,46,,,,
6/26/2016,,3.0,70.8,Shade,7:34,7,,SW,6,0.5,LOW,,,,
6/26/2016,,,,Shade,7:38,7,,NW,4,0.5,45,,,,
6/26/2016,,,,Shade,7:38,7,,NW,0,0.5,0,,,,
6/26/2016,,2.7,72.4,Sun,7:38,7,,NE,0,0.5,0,,,,
6/26/2016,,,,Sun,7:39,7,,NE,2,0.5,NO READING,,,,
6/26/2016,,,,Shade,,8,,SE,6,0.5,56,,No flowers in the NE,,
6/26/2016,,,72.7,Shade,7:42,8,,SE,2,0.5,66,,,,
6/26/2016,,,,Shade,7:43,8,,SW,7,0.5,45,,,,
6/26/2016,,2.9,74.0,Shade,,8,,SW,13,0.5,52,,,,
6/26/2016,,,,Shade,7:47,8,,NW,6,0.5,NO READING,,,,
6/26/2016,,,,Shade,7:49,8,,NW,7,0.5,53,,,,
6/26/2016,,,,Shade,,9,,SE,11,0.5,61,,,,
6/26/2016,,,,Shade,7:54,9,,SE,8,0.5,52,,,,
6/26/2016,,11.4,50.2,Shade,7:56,9,,SW,4,0.5,63,,,,
6/26/2016,,,,Shade,7:59,9,,SW,6,0.5,55,,,,
6/26/2016,,11.6,45.3,Shade,8:01,9,,NW,6,0.5,52,,,,
6/26/2016,,12.9,43.8,Shade,8:02,9,,NW,19,0.5,40,,,,
6/26/2016,,,,Shade,,9,,NE,11,0.5,52,,,,
6/26/2016,,,,Shade,8:06,9,,NE,3,0.5,58,,,,
6/26/2016,,10.9,42.9,Sun,8:10,10,,SE,4,0.5,66,,,,
6/26/2016,,,,sun,8:10,10,,SE,5,0.5,71,,,,
6/26/2016,,10.2,,Sun,8:11,10,,SW,2.5,0.5,61,,,,
6/26/2016,,,,Sun,8:14,10,,SW,4,0.5,52,,,,
6/26/2016,,9.9,50.5,Sun,8:12,10,,NW,7,0.5,65,,,,
6/26/2016,,9.8,55.0,Sun,,10,,NW,3,0.5,64,,,,
6/26/2016,,,,Sun,8:18,10,,NE,11,0.5,69,,,,
6/26/2016,,,,Sun,8:22,10,,NE,6,0.5,65,,,,
6/26/2016,,9.5,,Sun,,11,,SW,0,0.5,0,,no flowers in the SE. NE only one Flower,,
6/26/2016,,,,Sun,,11,,SW,8,0.5,45,,,,
6/26/2016,,,,Sun,,11,,NW,0,0.5,0,,,,
6/26/2016,,,,Sun,8:27,11,,NW,7,0.5,62,,,,
6/26/2016,,,,Sun,8:28,11,,NE,0,0.5,0,,,,
6/26/2016,,,,Sun,8:33,12,,SE,7,0.5,62,,,,
6/26/2016,0,21.6,49.0,Sun,8:34,12,,SE,10,0.5,50,,,,
6/26/2016,0,13.3,41.9,Sun,8:35,12,,SW,0,0.5,0,,,,
6/26/2016,0,12.8,43.3,Sun,8:36,12,,SW,1,0.5,NO READING,,,,
6/26/2016,,12.7,44.5,Sun,8:38,12,,NW,1,0.5,NO READING,,,,
6/26/2016,,,,Sun,8:39,12,,NE,4,0.5,56,,,,
6/26/2016,,,,Sun,8:39,12,,NW,4,0.5,55,,,,
6/26/2016,0,12.8,43.4,Sun,8:40,12,,NE,3,0.5,59,,,,
6/26/2016,0,12.1,43.5,Shade,8:43,1,,SW,4,0.5,62,,only flowers in SW,,
6/26/2016,,,,Shade,8:45,1,,SW,8,0.5,56,,,,
6/26/2016,0,11.3,44.0,Sun,8:44,2,,SE,0,0.5,0,,,,
6/26/2016,0,11.4,45.3,Sun,8:46,2,,SE,0,0.5,0,,no flowers in SW,,
6/26/2016,,,,Sun,8:46,2,,NW,0,0.5,0,,,,
6/26/2016,0,11.1,45.0,Sun,8:47,2,,NW,3,0.5,NO READING,,,,
6/26/2016,0,10.8,48.0,Sun,8:49,2,,NE,3,0.5,59,,,,
6/26/2016,,,,Sun,8:51,2,,NE,2,0.5,67,,,,
6/26/2016,0,10.6,59.6,Sun,8:52,3,,SE,0,0.5,0,,,,
6/26/2016,0,10.3,48.9,Sun,8:53,3,,SW,0,0.5,0,,,,
6/26/2016,0,10.3,49.1,Sun,8:53,3,,SE,2,0.5,59,,,,
6/26/2016,0,10.5,49.7,Sun,8:55,3,,SW,1,0.5,NO READING,,,,
6/26/2016,0,10.4,49.7,Sun,8:55,3,,NW,0,0.5,0,,,,
6/26/2016,,,,Sun,8:56,3,,NW,0,0.5,0,,,,
6/26/2016,0,10.7,50.8,Sun,8:56,3,,NE,1,0.5,NO READING,,,,
6/26/2016,0,10.6,50.5,Sun,8:58,3,,NE,0,0.5,0,,,,
6/27/2016,0,6.8,54.1,Shade,6:56,4,,SW,0,0.5,0,,,,
6/27/2016,,,,Shade,,4,,SW,0,0.5,0,,No FF in SE,,
6/27/2016,0,6.9,56.7,Shade,,4,,NW,4,0.5,68,,,,
6/27/2016,0,5.8,60.3,Shade,7:01,4,,NW,3,0.5,60,,,,
6/27/2016,0,5.9,60.9,Shade,7:02,4,,NE,11,0.5,45,,,,
6/27/2016,0,5.8,62.1,Shade,7:03,4,,NE,4,0.5,64,,,,
6/27/2016,0,5.5,61.7,Shade,7:04,5,,SE,0,0.5,0,,,,
6/27/2016,0,5.3,64.5,Shade,7:06,5,,SE,6,0.5,<45,,,,
6/27/2016,0,5.2,64.5,Shade,7:07,5,,SW,6,0.5,56,,,,
6/27/2016,0,5.2,64.8,Shade,7:08,5,,NW,3,0.5,68,,,,
6/27/2016,,,,Shade,7:08,5,,NW,0,0.5,0,,,,
6/27/2016,,,,Shade,7:07,5,,SW,0,0.5,0,,time entered on data sheet incorrectly?,,
6/27/2016,0,5.4,65.8,Shade,7:11,5,,NE,0,0.5,0,,only one flowering stalk,,
6/27/2016,0,5.3,64.7,Shade,7:11,5,,NE,2,0.5,52,,,,
6/27/2016,0,5.3,65.2,Shade,7:13,6,,SE,4,0.5,43,,,,
6/27/2016,0,5.4,66.3,Shade,7:14,6,,SE,0,0.5,0,,,,
6/27/2016,0,5.7,66.0,Shade,7:15,6,,SW,0,0.5,0,,,,
6/27/2016,0,5.5,66.1,Shade,7:15,6,,SW,0,0.5,0,,,,
6/27/2016,0,5.4,66.8,Shade,7:17,6,,NW,5,0.5,60,,,,
6/27/2016,0,5.2,67.2,Shade,7:18,6,,NW,5,0.5,46,,,,
6/27/2016,,,,Shade,7:20,6,,NE,3,0.5,63,,,,
6/27/2016,0,5.2,68.7,Shade,7:21,6,,NE,6,0.5,58,,,,
6/27/2016,0,4.8,67.0,Shade,7:22,7,,SE,5,0.5,46,,,,
6/27/2016,0,4.6,67.9,Shade,7:23,7,,SE,0,0.5,0,,,,
6/27/2016,0,4.3,69.4,Shade,7:25,7,,SW,8,0.5,49,,,,
6/27/2016,0,4.4,69.9,sun,7:26,7,,SW,18,0.5,42,,,,
