date,avg wind (mph),temp (?F),Humidity (%),Shade/ Sun,time (am),plot,treatment,Plant #,cm of tube filled,cm of second tube filled,cm of third tube,cm of fourth tube,size tube (µL),length tube (mm),% sucrose,% of second tube,% of third tube,% of fourth tube,notes
6/10/2015,0,53.3,,sun,8:17,ESR (2),snow removal,8,0,,,,1,55,NA,,,,
6/10/2015,0,54,,shade,8:21,EC (3),control,3,0,,,,1,55,NA,,,,only 1 ff
6/10/2015,0,53.3,,sun,8:24,EC (3),control,8,3,,,,1,55,33,,,,only 1 ff
6/10/2015,0,52.3,,shade,8:29,EH (4),heating,3,0,,,,1,55,NA,,,,only 1 ff
6/10/2015,0,52.5,,sun,8:32,EH (4),heating,5,5.5,,,,1,55,24,,,,
6/10/2015,0,53.4,,sun,8:36,EH (4),heating,5,2.7,,,,1,55,23,,,,
6/10/2015,0,53.5,,sun,8:39,EH (4),heating,4,0.1,,,,1,55,NA,,,,only 1 ff
6/10/2015,0,54.6,,sun,8:43,EH (4),heating,7,0,,,,1,55,NA,,,,only 1 ff
6/10/2015,0,55,,sun,8:46,EH (4),heating,6,1.5,,,,1,55,25,,,,
6/10/2015,0,55.3,,sun,8:50,EH (4),heating,6,0,,,,1,55,NA,,,,
6/10/2015,0,55.9,,sun,8:52,EH (4),heating,6,0,,,,1,55,NA,,,,
6/11/2015,0,45.3,,shade,7:18,CC (6),control,9,0,,,,1,55,NA,,,,
6/11/2015,0,45.3,,shade,7:20,CC (6),control,9,5.5,,,,1,55,3,,,,
6/11/2015,0,45.3,,shade,7:22,CC (6),control,9,1.2,,,,1,55,1,,,,
6/11/2015,0,46.2,,shade,7:25,CC (6),control,9,0,,,,1,55,NA,,,,
6/11/2015,0,47,,shade,7:28,CC (6),control,9,5.5,5.5,5.5,4.6,1,55,2,2,2,3,4 tubes from same flower (very wet)
6/11/2015,0,47.7,,shade,7:34,CC (6),control,9,0.9,,,,1,55,7,,,,
6/11/2015,0,49.2,,sun,7:36,CC (6),control,9,0.3,,,,1,55,6,,,,
6/11/2015,0,48.5,,shade,7:43,CH (5),heating,5,5.5,5.5,5.5,5.4,1,55,7,11,5,5,
6/11/2015,0,49.9,,sun,7:49,CH (5),heating,5,1.7,,,,1,55,5,,,,
6/11/2015,0,53.3,,sun,7:52,CH (5),heating,2,4.5,,,,1,55,15,,,,
6/11/2015,0,53.3,,sun,7:57,CH (5),heating,2,2.2,,,,1,55,10,,,,
6/11/2015,0,54.5,,sun,7:59,CH (5),heating,6,5.4,,,,1,55,8,,,,
6/11/2015,0,54.5,,sun,8:00,CH (5),heating,6,5.3,,,,1,55,3,,,,
6/11/2015,0,52.4,,sun,8:02,CH (5),heating,7,0.6,,,,1,55,45,,,,
6/11/2015,0,52.4,,sun,8:04,CH (5),heating,7,0,,,,1,55,NA,,,,
6/11/2015,0,52.6,,sun,8:10,CSR (7),snow removal,9,4.7,,,,1,55,3,,,,
6/11/2015,0,52.6,,shade,8:12,CSR (7),snow removal,9,5.5,2.4,,,1,55,6,15,,,
6/11/2015,0,56.8,,sun,8:25,CHSR (8),heating & snow removal,2,3.3,,,,1,55,29,,,,
6/11/2015,0,56.8,,sun,8:29,CHSR (8),heating & snow removal,2,0,,,,1,55,NA,,,,
6/11/2015,0,61.3,,sun,8:30,CHSR (8),heating & snow removal,6,3.1,,,,1,55,12,,,,
6/11/2015,0,61.3,,sun,8:33,CHSR (8),heating & snow removal,6,1.2,,,,1,55,42,,,,
6/11/2015,0,61.3,,sun,8:36,CHSR (8),heating & snow removal,4,4.9,,,,1,55,22,,,,
6/11/2015,0,61.3,,sun,8:37,CHSR (8),heating & snow removal,4,2.3,,,,1,55,22,,,,
6/11/2015,1.3,58,,sun,8:40,CHSR (8),heating & snow removal,4,0,,,,1,55,NA,,,,
6/11/2015,1.3,58,,sun,8:42,CHSR (8),heating & snow removal,4,5,,,,1,55,22,,,,
6/12/2015,0,50,,shade,7:49,WHSR (9),heating & snow removal,4,0,,,,1,55,NA,,,,
6/12/2015,0,51,,shade,7:50,WHSR (9),heating & snow removal,1,0.4,,,,1,55,32,,,,
6/12/2015,0,51,,shade,7:53,WHSR (9),heating & snow removal,1,0,,,,1,55,NA,,,,
6/12/2015,0,50.8,,shade,7:54,WHSR (9),heating & snow removal,2,0,,,,1,55,NA,,,,
6/12/2015,0,50.8,,shade,7:55,WHSR (9),heating & snow removal,,,,,,,55,,,,,
6/12/2015,0,51.3,,shade,7:56,WHSR (9),heating & snow removal,3,0,,,,1,55,NA,,,,
6/12/2015,0,51.3,,shade,7:58,WHSR (9),heating & snow removal,3,0,,,,1,55,NA,,,,
6/12/2015,0,51.4,,shade,8:00,WHSR (9),heating & snow removal,3,0.3,,,,1,55,NA,,,,
6/12/2015,0,51.4,,shade,8:03,WHSR (9),heating & snow removal,3,0.6,,,,1,55,32,,,,
6/12/2015,0,50.7,,sun,8:09,WC (11),control,3,0,,,,1,55,NA,,,,WSR (10) all flowers senescing
6/12/2015,0,52.4,,sun,8:12,WC (11),control,7,0,,,,1,55,NA,,,,
6/12/2015,0,52.4,,sun,8:12,WC (11),control,7,0,,,,1,55,NA,,,,
6/13/2015,0,49.1,,shade,7:48,ESR (2),snow removal,2,0,,,,1,55,NA,,,,EHSR (1) - no ff flowers
6/13/2015,0,49.1,,shade,7:49,ESR (2),snow removal,2,0,,,,1,55,NA,,,,
6/13/2015,0,47.5,,shade,7:50,ESR (2),snow removal,8,0,,,,1,55,NA,,,,
6/13/2015,0,47.5,,shade,7:51,ESR (2),snow removal,8,0,,,,1,55,NA,,,,
6/13/2015,0,46.4,,shade,7:54,EC (3),control,8,0,,,,1,55,NA,,,,
6/13/2015,0,46.1,,shade,7:54,EH (4),heating,3,0,,,,1,55,NA,,,,
6/13/2015,0,45.2,,sun,7:56,EH (4),heating,4,0,,,,1,55,NA,,,,
6/13/2015,0,47.2,,shade,7:58,EH (4),heating,5,1.1,,,,1,55,>50,,,,
6/13/2015,0,47.2,,shade,8:02,EH (4),heating,5,0,,,,1,55,NA,,,,
6/13/2015,0,48.6,,sun,8:03,EH (4),heating,6,0.2,,,,1,55,48,,,,
6/13/2015,0,48.6,,sun,8:09,EH (4),heating,6,0,,,,1,55,NA,,,,
6/13/2015,0,47.5,,sun,8:11,EH (4),heating,8,0,,,,1,55,NA,,,,
6/13/2015,0,47.5,,sun,8:12,EH (4),heating,8,0,,,,1,55,NA,,,,
6/13/2015,0,47.5,,shade,8:16,CC (6),control,9,0,,,,1,55,NA,,,,
6/13/2015,0,47.5,,sun,8:18,CH (5),heating,4,0,,,,1,55,NA,,,,
6/13/2015,0,56.6,,sun,8:23,CH (5),heating,5,0,,,,1,55,NA,,,,
6/13/2015,0,59.9,,sun,8:25,CH (5),heating,6,0,,,,1,55,NA,,,,
6/13/2015,0,59.9,,sun,8:26,CH (5),heating,6,0,,,,1,55,NA,,,,
6/13/2015,0,59.9,,shade,8:29,CH (5),heating,7,0,,,,1,55,NA,,,,
6/13/2015,0,61,,shade,8:29,CH (5),heating,7,0,,,,1,55,NA,,,,
6/13/2015,0,61,,shade,8:30,CH (5),heating,7,0,,,,1,55,NA,,,,
6/13/2015,0,61.8,,sun,8:34,CHSR (8),heating & snow removal,2,0,,,,1,55,NA,,,,CSR (7) - no good flowers to sample
6/13/2015,0,61.8,,sun,8:35,CHSR (8),heating & snow removal,2,0,,,,1,55,NA,,,,
6/13/2015,0,55.2,,sun,8:37,CHSR (8),heating & snow removal,4,0,,,,1,55,NA,,,,
6/13/2015,0,55.2,,sun,8:37,CHSR (8),heating & snow removal,4,0.1,,,,1,55,NA,,,,
6/13/2015,0,58.2,,sun,8:39,CHSR (8),heating & snow removal,4,0,,,,1,55,NA,,,,
6/13/2015,0,58.2,,sun,8:42,CHSR (8),heating & snow removal,6,0,,,,1,55,NA,,,,
6/13/2015,0,57.1,,sun,8:46,CHSR (8),heating & snow removal,4,0,,,,1,55,NA,,,,
6/13/2015,0,57.1,,sun,8:46,CHSR (8),heating & snow removal,4,0,,,,1,55,NA,,,,
