date,Date factor,year factor,plot,Heat,Plant #,Volume (?L)
6/7/2016,11,2,EHSR1,1,1,0.218181818
6/7/2016,11,2,EHSR1,1,1,0.4
6/7/2016,11,2,EHSR1,1,1,0.381818182
6/7/2016,11,2,ESR2,0,6,0.109090909
6/7/2016,11,2,ESR2,0,6,0.145454545
6/7/2016,11,2,WHSR9,1,2,0.127272727
6/7/2016,11,2,WHSR9,1,3,0.072727273
6/7/2016,11,2,WHSR9,1,2,0.2
6/7/2016,11,2,WHSR9,1,4,0.018181818
6/7/2016,11,2,WSR10,0,1,0.036363636
6/7/2016,11,2,WSR10,0,3,0.072727273
6/7/2016,11,2,WSR10,0,3,0.054545455
6/7/2016,11,2,WSR10,0,1,0.072727273
6/7/2016,11,2,WSR10,0,1,0.109090909
6/7/2016,11,2,WSR10,0,3,0.127272727
6/8/2016,12,2,CC6,0,7,0.109090909
6/8/2016,12,2,CC6,0,7,0.2
6/8/2016,12,2,CC6,0,6,0.218181818
6/8/2016,12,2,CC6,0,7,0.181818182
6/8/2016,12,2,CC6,0,6,0.327272727
6/8/2016,12,2,CC6,0,6,0.345454545
6/8/2016,12,2,CC6,0,7,0.527272727
6/8/2016,12,2,CH5,1,3,0.109090909
6/8/2016,12,2,CH5,1,3,0.090909091
6/8/2016,12,2,CH5,1,2,0.181818182
6/8/2016,12,2,CH5,1,2,0.218181818
6/8/2016,12,2,CH5,1,4,0.236363636
6/8/2016,12,2,CH5,1,5,0.363636364
6/8/2016,12,2,CHSR8,1,2,0.036363636
6/8/2016,12,2,CHSR8,1,1,0.072727273
6/8/2016,12,2,CHSR8,1,4,0.145454545
6/8/2016,12,2,CHSR8,1,2,0.090909091
6/8/2016,12,2,CHSR8,1,1,0.090909091
6/8/2016,12,2,CHSR8,1,5,0.145454545
6/8/2016,12,2,CHSR8,1,1,0.109090909
6/8/2016,12,2,CSR7,0,1,0.036363636
6/8/2016,12,2,CSR7,0,3,0.072727273
6/8/2016,12,2,CSR7,0,3,0.054545455
6/8/2016,12,2,CSR7,0,8,0.109090909
6/8/2016,12,2,CSR7,0,5,0.327272727
6/8/2016,12,2,CSR7,0,3,0.109090909
6/8/2016,12,2,EC3,0,3,0.072727273
6/8/2016,12,2,EC3,0,3,0.036363636
6/8/2016,12,2,EC3,0,1,0.163636364
6/8/2016,12,2,EC3,0,1,0.072727273
6/8/2016,12,2,EC3,0,3,0.327272727
6/8/2016,12,2,EC3,0,1,0.145454545
6/8/2016,12,2,EC3,0,3,0.018181818
6/8/2016,12,2,EH4,1,5,0.036363636
6/8/2016,12,2,EH4,1,3,0.109090909
6/8/2016,12,2,EH4,1,9,0.145454545
6/8/2016,12,2,EH4,1,4,0.236363636
6/8/2016,12,2,EH4,1,7,0.236363636
6/8/2016,12,2,EH4,1,6,0.345454545
6/8/2016,12,2,EH4,1,8,0.363636364
6/8/2016,12,2,EHSR1,1,2,0.090909091
6/8/2016,12,2,EHSR1,1,1,0.145454545
6/8/2016,12,2,EHSR1,1,5,0.109090909
6/8/2016,12,2,EHSR1,1,5,0.127272727
6/8/2016,12,2,EHSR1,1,2,0.181818182
6/8/2016,12,2,EHSR1,1,1,0.545454545
6/8/2016,12,2,EHSR1,1,1,0.418181818
6/8/2016,12,2,ESR2,0,2,0.127272727
6/8/2016,12,2,ESR2,0,6,0.145454545
6/8/2016,12,2,ESR2,0,2,0.2
6/8/2016,12,2,ESR2,0,6,0.272727273
6/8/2016,12,2,ESR2,0,2,0.327272727
6/8/2016,12,2,ESR2,0,4,0.018181818
6/8/2016,12,2,WC11,0,5,0.090909091
6/8/2016,12,2,WC11,0,5,0.145454545
6/8/2016,12,2,WC11,0,3,0.072727273
6/8/2016,12,2,WC11,0,7,0.145454545
6/8/2016,12,2,WC11,0,3,0.2
6/8/2016,12,2,WC11,0,7,0.163636364
6/8/2016,12,2,WC11,0,5,0.381818182
6/16/2016,13,2,CH5,1,6,0.109090909
6/16/2016,13,2,CHSR8,1,6,0.018181818
6/16/2016,13,2,CHSR8,1,4,0.018181818
6/16/2016,13,2,CHSR8,1,2,0.018181818
6/16/2016,13,2,WHSR9,1,2,0.054545455
6/16/2016,13,2,WHSR9,1,1,0.127272727
6/16/2016,13,2,WHSR9,1,2,0.127272727
6/16/2016,13,2,WHSR9,1,1,0.290909091
6/16/2016,13,2,WHSR9,1,1,0.2
6/16/2016,13,2,WHSR9,1,2,0.018181818
